,ley,articulo,parte,texto,tokens
0,ley_de_transito,articulo 1,parte_01,"La presente Ley es de interés público y de observancia obligatoria en el Estado de Sonora. Tiene por objeto regular el tránsito de vehículos y establecer las normas a las que se sujetarán sus conductores y ocupantes, así como los peatones. La planeación, ejercicio y supervisión de la función pública de tránsito, son actividades de interés público.",120
0,ley_de_transito,articulo 2,parte_01,"Los municipios tendrán a su cargo el ejercicio de la función pública de tránsito municipal, de acuerdo a las bases establecidas en esta Ley y demás disposiciones aplicables.",57
0,ley_de_transito,articulo 3,parte_01,"Son autoridades competentes para aplicar la presente Ley: I.- El Ejecutivo del Estado, y II.- Los ayuntamientos de los municipios del Estado.",46
0,ley_de_transito,articulo 4,parte_01,"Compete al Gobernador del Estado: I.- Establecer y ejecutar las políticas de vialidad en las carreteras y caminos de jurisdicción estatal. La Coordinación Estatal de Seguridad Pública y Tránsito, inspeccionará, verificará y vigilará en las carreteras de jurisdicción estatal que los vehículos destinados al servicio público o privado de transporte cumplan con las condiciones de peso, dimensiones, capacidad y otras especificaciones en los términos que establezcan las normas legales y reglamentarias respectivas. II.- Transmitir a las policías de tránsito municipales, cuando éstas realicen las funciones de policía preventiva municipal, las ordenes necesarias en aquellos casos que, bajo su responsabilidad, califique como de fuerza mayor o alteración grave del orden público, de acuerdo con lo establecido en la Ley de Seguridad Pública. III.- Celebrar convenios con los municipios del Estado y con las autoridades federales o",300
0,ley_de_transito,articulo 4,parte_02," de otras entidades federativas, para el mejor cumplimiento de los fines de esta Ley. IV.- Ordenar la ejecución de sus decisiones mediante el uso de la fuerza pública, cuando el caso lo amerite. V.- Lo demás que esta y otras disposiciones legales le señalen.",94
0,ley_de_transito,articulo 5,parte_01,"Compete a los Ayuntamientos de los respectivos municipios: I.- Organizar y ejercer, en los términos de esta Ley, la función pública de tránsito. II.- Aprobar, con sujeción a la presente Ley, los reglamentos, las circulares y las demás disposiciones administrativas de observancia general dentro de sus respectivas jurisdicciones, en materia de tránsito; III.- Emitir los manuales de organización, de procedimientos y de servicios al público de las Policías de Tránsito Municipales; IV.- Establecer y ejecutar las políticas de vialidad en las zonas urbanas y rurales del municipio de que se trate. Dichas políticas deberán contener la estructura vial primaria, secundaria, local y peatonal, así como las características y normas técnicas respecto de estacionamientos, señalamientos y demás dispositivos e indicadores para el control del tránsito; V.- Se deroga; VI.- Celebrar convenios con el Estado, con autor",300
0,ley_de_transito,articulo 5,parte_02,"idades de la Federación o de otras Entidades Federativas para el mejor cumplimiento de los fines que previene esta Ley; VII.- Establecer el calendario para el revisado de vehículos registrados en su departamento de tránsito municipal. VIII.- Organizar los escuadrones de educación vial. IX.- Dictar las normas conforme a las cuales se establecerán las nomenclaturas de las calzadas, boulevares, avenidas, calles y callejones de su jurisdicción. X.- Resolver los recursos de inconformidad de la materia; XI.- Ordenar la ejecución de sus decisiones mediante el uso de la fuerza pública cuando el caso lo amerite. XII.- Elaborar y mantener permanentemente actualizadas las estadísticas que resulten necesarias para el mejor ejercicio de la función pública de tránsito; y XIII.- Lo demás que esta y otras disposiciones legales le señalen.",276
0,ley_de_transito,articulo 6,parte_01,"Son atribuciones de los jefes de tránsito municipal: I.- Ejercer en su jurisdicción, el mando directo de la policía de tránsito municipal, coordinando sus actuaciones de manera que desarrolle sus funciones con la mayor eficacia. II.- Imponer correcciones disciplinarias a los elementos que integran la policía de tránsito a sus órdenes. III.- Presentar, al Ayuntamiento de que dependan, informes trimestrales de las actividades realizadas por la policía de tránsito a sus órdenes, así como un inventario de los recursos humanos y materiales con que se preste el servicio. IV.- Entregar un instructivo a los choferes al solicitar el revisado de sus unidades, referente al auxilio y preferencia de los ciudadanos que se identifiquen como ciegos con el bastón blanco, los sordos con el brazalete amarillo y demás personas con discapacidad que resulten de obvia observancia.  V.- Cumplir y hacer cumplir esta Ley y las disposiciones que de ella eman",300
0,ley_de_transito,articulo 6,parte_02,en.,2
0,ley_de_transito,articulo 7,parte_01,"Los Ayuntamientos de los municipios del Estado nombrarán, a propuesta de los Presidentes Municipales, al Jefe de la Policía de Tránsito Municipal. La facultad de remoción del mismo será competencia exclusiva del Ayuntamiento. Los Oficiales Superiores y demás personal, serán nombrados por los Presidentes Municipales. Serán oficiales superiores de las policías de tránsito municipales, los subjefes. Los cargos de jefe y subjefe de policía de tránsito municipal podrán recaer en las mismas personas que tengan, respectivamente, los cargos de jefe y subjefe de policía preventiva de un municipio.",178
