,ley,articulo,parte,texto,tokens
0,ley_seguridad_publica, ARTÍCULO 1º,parte_01,"La presente Ley es de orden e interés público y tiene por objeto determinar las instancias encargadas de la seguridad pública en la entidad, regular la integración, organización y funcionamiento del Sistema Estatal de Seguridad Pública, así como establecer las bases de coordinación entre el Estado y los municipios en la materia, a fin de integrar y regular la correspondencia de aquel con el Sistema Nacional de Seguridad Pública.",138
0,ley_seguridad_publica, ARTÍCULO 2º,parte_01,"El Sistema Estatal de Seguridad Pública contará para su funcionamiento y operación, con políticas de seguridad pública, las cuales estarán basadas en el resultado del diagnóstico de los factores criminógenos del Estado. Asimismo, contará con instancias e instrumentos, a fin de ejecutar las acciones, brindar los servicios previstos en la presente Ley y cumplir con los fines de la seguridad pública. El Sistema Estatal de Seguridad Pública también contará con un Programa Estatal de Prevención Social de la Violencia y la Delincuencia, el cual deberá contener: I.- El diagnóstico de los factores criminógenos; II.- Las bases para la participación ciudadana y comunitaria en la ejecución del Programa Estatal de Prevención Social de la Violencia y la Delincuencia; III.- Los mecanismos para evaluar las acciones que se lleven a cabo; y IV.- La previsión de recursos que resulte necesaria. El",300
0,ley_seguridad_publica, ARTÍCULO 2º,parte_02," eje del Sistema Estatal de Seguridad Pública será la coordinación entre el Estado y los municipios, en un marco de respeto a sus respectivas competencias.",49
0,ley_seguridad_publica, ARTÍCULO 3º,parte_01,"Para los efectos de esta Ley se entiende por Seguridad Pública la función a cargo del Estado y los municipios, tendiente a salvaguardar la integridad y los derechos de las personas, las libertades, la paz y el orden público, comprende la prevención especial y general de los delitos, la investigación para hacerla efectiva, la sanción de las infracciones administrativas, así como la investigación y la persecución de los delitos y la reinserción social del individuo, en términos de esta Ley, en las  respectivas competencias establecidas en la Constitución Política de los Estados Unidos Mexicanos. La función de la Seguridad Pública es una responsabilidad conjunta, que desarrollarán en sus respectivos ámbitos de competencia, el Estado y los municipios, por conducto de las instituciones de policía, Procuraduría General de Justicia del Estado, de los tribunales y de las autoridades responsables de la ejecución de penas, de",300
0,ley_seguridad_publica, ARTÍCULO 3º,parte_02," las autoridades competentes en materia de justicia para adolescentes y de las encargadas de aplicar medidas de seguridad para inimputables, así como por las demás autoridades que en razón de sus atribuciones deban contribuir directa o indirectamente al objeto de esta Ley. También intervendrán, coordinándose, los sistemas educativos, de salud, de protección civil, de saneamiento ambiental, de cultura, del deporte, de protección a la mujer, de protección a la familia, representantes de la Procuraduría General de la República, representantes de la Policía Federal y cualquier otro que coadyuve a la preservación de la Seguridad Pública.",206
0,ley_seguridad_publica, ARTÍCULO 4º,parte_01,"Para los efectos de esta Ley, se entenderá por: I.- Carrera Policial: El Servicio Profesional de Carrera Policial; II.- Centro: El Centro de Evaluación y Control de Confianza del Estado de Sonora, organismo descentralizado responsable de aplicar los procedimientos de evaluación y de control de confianza conforme a los criterios expedidos por el Centro Nacional de Certificación y Acreditación, así como las demás evaluaciones de desempeño que se consideren necesarias para las Instituciones de Seguridad Pública; la calificación y certificación del personal de III.- Comisión: Comisión de Honor, Justicia y Promoción, creada en cada uno de los municipios y por el Secretario de Seguridad Pública en sus respectivos ámbitos de competencia; IV.- Comités Ciudadanos: Los Comités Ciudadanos de Seguridad Pública del Estado y de los Municipios; V.- Consejo Estatal: El Consejo Estatal de Seguridad Pública; VI.- Consejos Municipales",300
0,ley_seguridad_publica, ARTÍCULO 4º,parte_02,": Los Consejos Municipales de Seguridad Pública; VII.- Consejos Intermunicipales: Los Consejos Intermunicipales de Seguridad Pública; VIII.- Factores criminógenos: Los elementos que inciden en la comisión de delitos; IX.- Instituciones de Seguridad Pública: Las Instituciones Policiales, de Procuración de Justicia, del Sistema Penitenciario, del Sistema de Justicia para Adolescentes y las dependencias encargadas de la Seguridad Pública en el ámbito Estatal y municipal;  X.- Instituciones de Procuración de Justicia: Las Instituciones que integran al Ministerio Público, los servicios periciales y demás auxiliares de aquél; XI.- Instituciones Policiales: Los cuerpos de Policía especializados en la investigación de delitos, así como los cuerpos de seguridad pública, que en el ámbito de sus respectivas competencias actúan todos bajo el mando y la conducción del Ministerio Público para efect",300
0,ley_seguridad_publica, ARTÍCULO 4º,parte_03,"os de la investigación, en términos de lo que disponen la Constitución, el Código Nacional de Procedimientos Penales y demás disposiciones aplicables; XII.- Instituto: Instituto Superior de Seguridad Pública del Estado de Sonora; XIII.- Ley: La Ley de Seguridad Pública para el Estado de Sonora; XIV.- Ley General: La Ley General del Sistema Nacional de Seguridad Pública; XV.- Mapa geodelictivo: Trazo que representa una zona geográfica determinada en la que se señalan de forma relevante, las áreas con incidencias delictivas; XVI.- Participación ciudadana y comunitaria: La participación de los diferentes sectores y grupos de la sociedad civil, organizada y no organizada, así como de la comunidad académica, en acciones de seguridad pública en apoyo a las autoridades, cultura de la legalidad y la denuncia, que coadyuvará, entre otros, en los procesos de evaluación de las polític",300
0,ley_seguridad_publica, ARTÍCULO 4º,parte_04,"as de atención y prevención social de la violencia y la delincuencia, así como de las Instituciones de Seguridad Pública; XVI Bis.- Prevención social de la violencia y la delincuencia: Conjunto de políticas públicas, programas y acciones orientadas a reducir factores de riesgo que favorezcan la generación de violencia y delincuencia, así como a combatir las distintas causas y factores que la generan; XVII.- Profesionalización: Proceso permanente y progresivo de formación que se integra por las etapas de formación inicial, actualización, promoción, especialización y alta dirección, para desarrollar al máximo las competencias, capacidades y habilidades de los integrantes de las Instituciones Policiales; XVIII.- Programa Rector: Conjunto de contenidos encaminados a la profesionalización de los servidores públicos de las Instituciones Policiales e Instituciones de Procuración de Justicia, respectivamente; XIX",300
0,ley_seguridad_publica, ARTÍCULO 4º,parte_05,".- Registro Estatal: Las bases de datos estatales y la información contenida en ellas, en materia de detenciones, información criminal, personal de seguridad pública, servicios de seguridad privada, armamento y equipo, vehículos, huellas dactilares, sentenciados y las demás necesarias para la operación del Sistema Estatal; XX.- Secretaría: La Secretaría de Seguridad Pública;  XXI.- Procuraduría: La Procuraduría General de Justicia del Estado; y XXII.- Sistema Estatal: El Sistema Estatal de Seguridad Pública.",174
0,ley_seguridad_publica, ARTÍCULO 5º,parte_01,"En el ejercicio de la función de seguridad pública compete al Gobernador del Estado: I.- Establecer en el Plan Estatal de Desarrollo y en el programa respectivo, las políticas y los lineamientos que correspondan en materia de seguridad pública; II.- Ejercer, en los términos de la presente Ley, de las Constituciones Federal y Estatal, el mando supremo de las fuerzas del Estado y movilizarlas según las necesidades públicas, así como transmitir a la policía preventiva municipal, las órdenes necesarias en aquellos casos que juzgue como de fuerza mayor o alteración grave del orden público; III.- Presidir el Consejo Estatal y realizar las funciones que le otorga esta Ley; IV.- Designar y remover al titular de la Secretaría de Seguridad Pública de conformidad con las bases previstas en esta Ley; V.- Nombrar y remover libremente al titular de la Policía Estatal de Seguridad Pública; y VI.- Las demás",300
0,ley_seguridad_publica, ARTÍCULO 5º,parte_02, que señalen los ordenamientos jurídicos aplicables.,21
0,ley_seguridad_publica, ARTÍCULO 6º,parte_01,"Para el cumplimiento de sus funciones de seguridad pública, el Estado contará con la Secretaría de Seguridad Pública como dependencia de la administración pública estatal, la cual tendrá las facultades y obligaciones que se establecen en la Ley Orgánica del Poder Ejecutivo del Estado de Sonora.",101
0,ley_seguridad_publica, ARTÍCULO 7º,parte_01,"Las Instituciones de Seguridad Pública serán de carácter civil, disciplinado y profesional, su actuación se regirá además, por los principios de subsidiariedad, legalidad, transparencia y respeto a los derechos humanos reconocidos por la Constitución Política de los Estados Unidos Mexicanos, fomentando la participación ciudadana. eficiencia, profesionalismo, honradez, objetividad, El servicio profesional policial será elemento básico del Sistema Estatal y comprenderá los requisitos y procedimientos de reclutamiento, selección, ingreso, formación, capacitación, adiestramiento, desarrollo, actualización, permanencia, promoción, dignificación, reconocimiento, certificación y separación del Sistema Estatal, así como la evaluación de los integrantes de las diversas Instituciones Policiales. El servicio profesional policial, en las diferentes instancias, tendrá carácter obligatorio y permanente.",295
0,ley_seguridad_publica, ARTÍCULO 8º,parte_01,"Serán aplicables supletoriamente a la presente Ley, las disposiciones previstas en la Ley de Responsabilidades de los Servidores Públicos del Estado y de los Municipios y el Código Nacional de Procedimientos Penales. Cuando las disposiciones de esta Ley comprendan materias y acciones que incidan en diversos ámbitos de competencia de la entidad y los municipios y no exista disposición expresa en esta Ley, se aplicará lo que prevea al respecto la Ley General del Sistema Nacional de Seguridad Pública; en su defecto, se atenderá a los lineamientos generales y específicos dictados por los Consejos Nacional y Estatal de Seguridad Pública. Sólo en caso de no encontrarse regulada la materia o acción en la ley o en lineamientos generales, las resoluciones o los acuerdos de que se trate se ejecutarán mediante convenios generales y específicos entre las partes integrantes del Sistema Estatal, siempre que no se opongan a los",300
0,ley_seguridad_publica, ARTÍCULO 8º,parte_02, fines de éste. TÍTULO SEGUNDO DE LA ESTRUCTURA Y FUNCIONES DEL SISTEMA ESTATAL DE SEGURIDAD PÚBLICA CAPÍTULO I DE LA COORDINACIÓN ENTRE EL ESTADO Y LOS MUNICIPIOS,74
0,ley_seguridad_publica, ARTÍCULO 9º,parte_01,"Conforme a las bases que establece el artículo 21 de la Constitución Política de los Estados Unidos Mexicanos, las Instituciones de Seguridad Pública del Estado y los municipios, en el ámbito de su competencia y en los términos de esta Ley, deberán coordinarse para: I.- Integrar el Sistema Estatal y cumplir con sus objetivos y fines; II.- Analizar las propuestas de políticas de seguridad pública, observando que las mismas sean sistemáticas, continuas y evaluables, así como los programas y estrategias, en materia de seguridad pública; III.- Ejecutar, dar seguimiento y evaluar las políticas, estrategias y acciones, a través de las instancias previstas en esta Ley; IV.- Proponer, ejecutar y evaluar el Programa Estatal de Prevención del Delito y los que surjan de seguridad pública y demás instrumentos programáticos en la materia, previstos en la Ley de Planeación",300
0,ley_seguridad_publica, ARTÍCULO 9º,parte_02," del Estado de Sonora; V.- Distribuir entre los integrantes del Sistema Estatal, actividades específicas para el cumplimiento de los fines de la seguridad pública; VI.- Regular los procedimientos de selección, ingreso, formación, actualización, capacitación, permanencia, evaluación, reconocimiento, certificación y registro de los servidores públicos de las Instituciones de Seguridad Pública;  VII.- Regular los sistemas disciplinarios, así como de reconocimientos, estímulos y recompensas; VIII.- Determinar criterios uniformes para la organización, operación y modernización tecnológica de las Instituciones de Seguridad Pública; IX.- Establecer y controlar los Registros Estatales; X.- Definir criterios para la realización de acciones y operativos conjuntos de las Instituciones Policiales; XI.- Promover la participación ciudadana y comunitaria en coadyuvancia con las Instituciones de Seguridad Pú",300
0,ley_seguridad_publica, ARTÍCULO 9º,parte_03,"blica en los procesos de evaluación de las políticas de prevención del delito, a través de mecanismos eficaces; XII.- Implementar mecanismos de evaluación en la aplicación de los recursos para la seguridad pública, incluidos los fondos de ayuda federal para la seguridad pública; XIII.- Fortalecer los sistemas de seguridad social de los integrantes de las Instituciones Policiales, sus familias y dependientes, e instrumentar los complementarios a éstos; XIV.- Regular y controlar la prestación de los servicios de seguridad privados y otros auxiliares; XV.- Regular los sistemas de información sobre seguridad pública previstos en esta Ley, de conformidad con la normatividad aplicable; y XVI.- Cualquier otra actividad que permita incrementar la eficacia de las medidas y acciones tendientes a garantizar la seguridad pública.",268
0,ley_seguridad_publica, ARTÍCULO 10,parte_01,"En todo caso, las políticas, lineamientos y las acciones de coordinación se llevarán a cabo con base en los acuerdos y resoluciones que se tomen en el Consejo Estatal y demás instancias de coordinación. CAPÍTULO II DEL MANDO ÚNICO POLICIAL",86
0,ley_seguridad_publica, ARTÍCULO 11,parte_01,"Sin perjuicio de lo dispuesto en el artículo 115, fracción VII, de la Constitución Política de los Estados Unidos Mexicanos, cuando un municipio no cumpla con las condiciones objetivas de desarrollo institucional que prevé esta Ley para la prestación del servicio de seguridad pública y policía municipales, el Gobernador del Estado podrá celebrar convenios con el Ayuntamiento respectivo, previa aprobación de éste, para hacerse cargo de tales servicios de manera temporal y por conducto de la Secretaría de Seguridad Pública, o bien para que tales servicios se presten de manera coordinada bajo el mando de las Instituciones de Seguridad Pública del Gobierno del  Estado, conforme a las prescripciones que prevé la normatividad aplicable y en los términos del convenio respectivo.",242
0,ley_seguridad_publica, ARTÍCULO 12,parte_01,"El convenio al que se hace referencia en el artículo anterior deberá contemplar, entre otros aspectos, lo siguiente: I.- La vigencia del convenio y las condiciones para su renovación; II.- El catálogo e inventario de los recursos humanos, económicos y materiales destinados a la función de seguridad pública y policía municipales correspondientes; III.- En su caso, los mecanismos de coordinación entre las Instituciones de Seguridad Pública estatal y municipales correspondientes; IV.- La autorización para que las autoridades estatales comisionadas para tal efecto por el Secretario de Seguridad Pública, puedan acceder a los expedientes y demás información relativa a las Instituciones de Seguridad Pública y Policía municipales correspondientes, en los registros y archivos respectivos de los establecimientos destinados a la prestación de ese servicio en los municipios, así como la obligación de las autoridades municipales para otorgar a los comisionados todas las facil",300
0,ley_seguridad_publica, ARTÍCULO 12,parte_02,"idades para el ejercicio de sus funciones; V.- La descripción detallada de la cadena de mando aplicable por parte de la Secretaría de Seguridad Pública a las Instituciones de Seguridad Pública y Policía municipal del Ayuntamiento que celebre el convenio, así como el Estado de Fuerza mínimo que deberá estar presente en todo momento en el municipio; VI.- La definición de las estrategias y prioridades para alcanzar dentro del municipio, los objetivos de la función de seguridad pública; VII.- El compromiso de asignación de gasto público mínimo para destinarse anualmente a la seguridad pública y policía municipal, durante la vigencia del convenio; VIII.- El funcionario que representará a la Institución de Seguridad Pública Municipal en la integración de los Consejos Municipal o Intermunicipal de Seguridad Pública, según lo establecen, respectivamente, los artículos 22, fracción II y 25 de la present",300
