titulo,capitulo,articulo,texto,tokens
 PRIMERO , I ,1o,"La presente Ley es de interés público y de observancia obligatoria en el Estado de Sonora. Tiene por objeto regular el tránsito de vehículos y establecer las normas a las que se sujetarán sus conductores y ocupantes, así como los peatones. La planeación, ejercicio y supervisión de la función pública de tránsito, son actividades de interés público.",86
 PRIMERO , I ,2o,"Los municipios tendrán a su cargo el ejercicio de la función pública de tránsito municipal, de acuerdo a las bases establecidas en esta Ley y demás disposiciones aplicables.",40
 PRIMERO , I ,3o,Son autoridades competentes para aplicar la presente Ley: I,13
 PRIMERO , I ,4o,Compete al Gobernador del Estado: I,11
 PRIMERO , I ,5o,Compete a los Ayuntamientos de los respectivos municipios: I,15
 PRIMERO , I ,6o,Son atribuciones de los jefes de tránsito municipal: I,16
 PRIMERO , I ,7o,"Los Ayuntamientos de los municipios del Estado nombrarán, a propuesta de los Presidentes Municipales, al Jefe de la Policía de Tránsito Municipal. La facultad de remoción del mismo será competencia exclusiva del Ayuntamiento. Los Oficiales Superiores y demás personal, serán nombrados por los Presidentes Municipales. Serán oficiales superiores de las policías de tránsito municipales, los subjefes. Los cargos de jefe y subjefe de policía de tránsito municipal podrán recaer en las mismas personas que tengan, respectivamente, los cargos de jefe y subjefe de policía preventiva de un municipio.",159
 PRIMERO , I ,8o,"Para los efectos de la disciplina y del mando, los integrantes de las policías de tránsito municipales ostentarán los siguientes grados jerárquicos: I",40
 PRIMERO , I ,*9o,"Los integrantes de las policías de tránsito municipales serán los encargados de hacer cumplir las determinaciones de los Ayuntamientos y los Presidentes Municipales, así como vigilar en los términos de sus comisiones o de las funciones que sean acorde con sus jerarquías, el cumplimiento del presente ordenamiento y de los reglamentos, circulares y demás disposiciones de observancia general que aprueben los ayuntamientos. Los Comisarios y los Delegados Municipales ejercerán las funciones a que se refiere el párrafo que antecede, dentro de sus respectivas jurisdicciones, cuando no existan en las mismas, elementos de la Policía de Tránsito Municipal. Los integrantes de las policías de tránsito municipales actuarán en auxilio y a solicitud expresa del Ministerio Público, en la investigación, averiguación y persecución de hechos delictuosos derivados de las actividades reguladas por esta Ley.",225
 PRIMERO , I ,*10,"Los partes que rindan los integrantes de las Policías de Tránsito Municipales harán prueba en la averiguación o el juicio criminal correspondiente, siempre que estén certificados por dos testigos de asistencia o por el Secretario de la Corporación, si existe y se refieran a materia de tránsito. Los integrantes de las Policías de Tránsito Municipales no podrán recoger ni exigir la entrega de licencias, tarjetas de circulación, placas y vehículos, sino en los casos expresamente previstos en esta Ley, en la comisión de algún delito, o cuando el conductor, siendo procedente de otro 3 Estado o país no garantice el cumplimiento del pago de las infracciones en que incurra. Las Policías de Tránsito Municipales podrán, previo acuerdo de los ayuntamientos, ejercer las atribuciones asignadas a las policías preventivas en la Ley de Seguridad Pública para el Estado de Sonora. Dicho acuerdo deberá publicarse en el Boletín Oficial del Gobierno del Estado de Sonora.",242
 PRIMERO , II,11,"Son de jurisdicción municipal, las vías públicas ubicadas dentro de los límites de las poblaciones y ciudades comprendidas en el territorio del Municipio, así como los caminos y demás vías que no atraviesen los límites de dos o más Municipalidades. Sin embargo, los vehículos y sus conductores, y los peatones que usen vías públicas de jurisdicción estatal o federal, estarán sujetos a la vigilancia de las autoridades y agentes de tránsito de los Municipios por los que atraviesen, en cuanto no se opongan a disposiciones federales.",138
 PRIMERO , II,12,"Son de jurisdicción estatal las vías públicas que atraviesen los límites de dos o más municipios, las que entronquen con alguna vía de jurisdicción federal, las que en su totalidad o en su mayor parte sean construidas por el Estado con fondos estatales o mediante concesión estatal por particulares o municipios.",81
 PRIMERO , II,13,"En caso de duda respecto a la jurisdicción de alguna vía pública, cualquier interesado puede solicitar que el Ejecutivo del Estado haga la declaratoria correspondiente.",39
 PRIMERO , II,14,"Son vías públicas las calzadas, boulevares, avenidas, calles, callejones de acceso y sus banquetas; así como los caminos vecinales, brechas, desviaciones, veredas, senderos, sus acotamientos; los puentes que unen a las vías públicas y a las zonas de protección de ambos.",82
 PRIMERO , II,15,"Las vías públicas destinadas al tránsito de vehículos y de peatones, son bienes de dominio público. Su uso es común y no causa retribución alguna, sin más limitaciones que las señaladas en esta Ley y las disposiciones de las autoridades de tránsito dictadas en estricto cumplimiento de sus facultades.",80
 PRIMERO , II,16,"Los caminos o calles que atraviesen predios o terrenos particulares, solamente podrán considerarse como vías públicas, cuando comuniquen dos o más poblaciones, o dos o más caminos o calles, no así cuando se trate de meras servidumbres de paso entre dos propiedades privadas. El uso de estos caminos hace nacer, respecto de los usuarios, la obligación de cerrar convenientemente las puertas que encuentren en su camino, de observar los avisos que pongan sus propietarios y de no estacionarse en sus interiores. En caso de duda sobre si un camino o calle deba ser o no considerado como vía pública, corresponde al ayuntamiento respectivo resolverla, después de escuchar a los interesados y recibir sus pruebas.",177
 PRIMERO , II,17,"Las leyes fiscales respectivas, determinarán las características, vigencia y cuantía de los derechos por concepto de placas de circulación, expedición de licencias, calcomanías por revisados, permisos, estacionamientos exclusivos, estacionamientos públicos y estacionómetros.",68
 SEGUNDO , I ,18,"Para el manejo en la vía pública de vehículos de propulsión automotriz, se requiere de las siguientes licencias: I",30
 SEGUNDO , I ,19,"Para obtener la licencia de automovilista a que se refiere la Fracción I del Artículo anterior, se requiere: I",29
 SEGUNDO , I ,20,"Para obtener la licencia de chofer, a que se refiere la fracción II del artículo 18 de esta Ley, además de reunir los requisitos que se establecen en el Artículo anterior, el solicitante deberá acreditar haber recibido capacitación y adiestramiento en el manejo de vehículos.",69
 SEGUNDO , I ,21,"Para obtener licencia de operador de servicio público de transporte, deberá: I",17
 SEGUNDO , I ,22,Para obtener licencia de motociclista se requiere: I,14
 SEGUNDO , I ,23,"Las personas mayores de 16 años y menores 18 años, podrán solicitar a la Tesorería General del Estado, por conducto de sus Agencias Fiscales, permiso para manejar automóviles de servicio particular, el cual tendrá vigencia de seis meses.",61
 SEGUNDO , I ,24,"Para obtener el permiso a que se refiere el artículo anterior, deberán satisfacerse los siguientes requisitos: I",25
